start_time,end_time,wav_file,emotion,V,A,D,speaker,transcriptions
221.7988,225.5594,Ses03M_impro02_F032,sad,1.5,2.5,3.5,Ses03F,Honey I can't do it anymore.
183.9704,187.7147,Ses02M_impro08_M026,neu,3.3333,2.6667,2.6667,Ses02M,Okay. All right. Then we'll get it sent out there. And
51.36,53.74,Ses04F_impro08_F002,neu,3.0,2.5,2.5,Ses04F,Okay.  Well I'd be happy to-
65.81,69.03,Ses05F_impro08_M007,ang,2.5,3.5,2.5,Ses05M,"Like I know I paid last month, but it hasn't been paid and you charged me a late fee."
125.5676,133.94799999999998,Ses03M_impro08a_M012,neu,3.0,4.0,4.0,Ses03M,"Um- Let me connect you to my supervisor.  Actually, he's out right now so I'm supervisor until he comes back. Um-"
47.34,53.11,Ses01F_impro02_F004,sad,2.5,2.0,2.5,Ses01F,"There's people that have given more though, you know?"
30.74,39.51,Ses05F_impro08_M004,ang,2.0,4.0,3.5,Ses05M,"This is ridiculous.  I- I seriously, I don't understand why you think these automated systems are supposed to like work for anybody.  They have never, ever work for me."
51.94,54.64,Ses03F_impro08_F007,neu,3.0,3.0,3.0,Ses03F,"Well, I know sir, and we all are busy."
5.36,8.98,Ses04M_impro02_M000,sad,2.5,2.0,1.5,Ses04M,It's only going to be a year.
252.3,258.53,Ses04M_impro07_M041,neu,3.0,3.5,4.0,Ses04M,I need to get like a -- just a small little gun just 'cause -- or like a taser or something or just like a butterfly knife
132.61,133.91,Ses05F_impro03_F031,hap,4.0,2.0,3.0,Ses05F,Yeah.
205.65,208.5721,Ses01M_impro06_M026,sad,2.5,3.0,3.5,Ses01M,For like eight years.
207.36,211.03,Ses05M_impro04_F028,neu,4.0,3.0,3.0,Ses05F,"Well, maybe we can find you something with juggling."
34.45,35.78,Ses01F_impro06_F003,neu,3.0,2.0,2.5,Ses01F,That's sweet.
81.52,85.5,Ses03M_impro05b_F012,neu,2.5,3.0,3.0,Ses03F,For tonight- For tonight sir.  Would you need to stay somewhere tonight?
54.02,55.5818,Ses02M_impro02_F005,sad,4.0,2.5,3.5,Ses02F,I hope so.
162.17,164.99,Ses01M_impro04_F021,neu,3.5,2.5,3.0,Ses01F,You have an excuse for everything.
154.57,156.89,Ses04F_impro06_M008,sad,2.5,2.0,2.5,Ses04M,Yeah.
18.5048,20.6139,Ses03M_impro02_M001,sad,2.5,2.0,2.0,Ses03M,Hey.
8.9084,11.9078,Ses02F_impro02_F000,sad,3.0,2.5,2.5,Ses02F,It's almost time for me to go.
207.0,209.66,Ses03M_impro08b_F024,neu,4.0,2.5,2.5,Ses03F,Alright Thanks.
240.3577,244.34900000000002,Ses03M_impro06_F020,sad,1.5,1.5,4.0,Ses03F,Now I can't.
175.27,178.43,Ses01F_impro04_F029,ang,1.5,4.0,4.0,Ses01F,Who do you think you are?
25.1125,27.86,Ses01M_impro05_F006,neu,2.5,2.5,3.0,Ses01F,I speak your language.
21.6685,24.6731,Ses03M_impro02_M002,sad,2.5,2.5,3.0,Ses03M,"Uh, -Um"
109.8178,116.1077,Ses02F_impro08_M009,neu,3.5,4.0,3.5,Ses02M,"Well, you know, we wanted to--we wanted to go to Maui and--That was a"
82.89,83.89,Ses03F_impro02_F012,sad,2.0,1.5,1.0,Ses03F,yeah
4.88,7.74,Ses01F_impro03_F000,hap,4.3333,2.6667,2.6667,Ses01F,Well Vegas was awesome.
15.12,17.52,Ses03M_impro08b_M000,neu,3.0,3.0,3.0,Ses03M,Hello?
84.1073,87.5694,Ses03M_impro02_F014,sad,1.5,3.0,3.5,Ses03F,Carry her for nine months and then yes.
17.0726,18.7868,Ses02F_impro08_F001,neu,4.0,2.5,3.5,Ses02F,"All right, sir."
57.3397,60.0098,Ses03F_impro06_F008,sad,4.0,2.5,3.0,Ses03F,I loved that boy.
243.1157,248.5775,Ses03M_impro03_M038,neu,4.0,2.5,3.0,Ses03M,I'm still working at my parents' restaurant. Busing tables.
80.46,83.44,Ses05F_impro02_M010,ang,2.0,3.5,2.5,Ses05M,Where do you have to go?  Where are you going?
90.36,98.61,Ses04F_impro07_M021,neu,3.5,3.0,4.0,Ses04M,"No, no.  It's totally cool.  I mean, like, this friend of mine he was- he's been undecided now for, like, the past like eleven years of his life."
311.09,313.31,Ses05F_impro04_M028,neu,3.0,3.5,3.0,Ses05M,I mean are you going in for interviews?
