SVR,BiGRU,BiLSTM,CNN-BiLSTM,Attention-BiGRU,Attention-BiLSTM,HAN,Regional LSTM,Regional CNN-LSTM
0.580976679,0.570717784,0.59762994,0.507907864,0.534987731,0.584293945,0.601843947,0.583031577,0.568147672
,0.571384055,0.600685809,0.581641577,0.479764717,0.566191725,0.608099585,0.573090147,0.553386983
,0.558849883,0.601614759,0.48137431,0.4962433,0.566231531,0.600067238,0.559356983,0.57547698
,0.570332981,0.611318204,0.580237094,0.546253444,0.562315629,0.609385481,0.557193363,0.570288545
,0.577086098,0.583981455,0.51443116,0.58860801,0.580326495,0.585232467,0.562049785,0.575429482
,0.575254052,0.606511726,0.471736433,0.588118569,0.562819427,0.598565466,0.574391917,0.565307627
,0.567233317,0.60475067,0.587319372,0.529870147,0.578217652,0.605175844,0.575869881,0.579550419
,0.56637533,0.587760692,0.509924507,0.598240032,0.562875503,0.619126343,0.552214345,0.565461287
,0.565974368,0.602151956,0.580757707,0.551651952,0.559886778,0.596202208,0.551254018,0.561704972
,0.561508439,0.603733909,0.581471178,0.561479645,0.577091574,0.602630133,0.569248328,0.565516486
