text_a	label
Remember what she said in my last letter?	3.0
Goodwill helps people get off of public assistance	3.44
Sherry learned through our Future Works class that she could rise out of mire of welfare system and support her family	3.55
Coming to Goodwill was first step toward my becoming totally independent	3.6
I am now totally off of welfare	3.0
Goodwill prepares people for lifelong employment	3.1
Here's another story of success from what might seem like unlikely source: Goodwill's controller, Juli	3.25
Cornell found number of employment options that he never dreamed existed after worksite injury forced him out of his job at foundry	3.25
Dear,	3.0
After lifetime of trials, Donna not only earned her GED at Goodwill, she earned job here	3.57
I rode bike to Goodwill in rain and snow	2.88
I wanted to be there	2.7
I had my second chance to change my life	3.5
Your gift to Goodwill will help many people who want to tell their own stories of success	3.63
Your support will help them go to work	3.7
Please use enclosed envelope to give generous gift to Goodwill today!	3.5
Sincerely,	3.14
William A Carter, Chairman Goodwill Industries Foundation	3.1
P S	3.0
Your gift is wise investment in community	3.5
For every dollar donated to Goodwill in , we helped our graduates earn estimated	3.88
That money was then spent in variety of ways, adding fuel to our thriving economy	3.25
A few months ago you received letter from me telling success stories of people who got jobs with Goodwill's help	3.4
In addition to that, by helping them find jobs, Goodwill reduced state's Public Support tab by estimated million	3.37
Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work	3.6
What kind of work does Goodwill do?	3.0
Goodwill finds jobs for people with mental and physical disabilities	3.29
After Maureen's job coach taugustht her how to do her job in restaurant, we helped Maureen step out of shadow sometimes cast over people with physical and mental disabilities and find fulfilling job smack dab in middle of society	3.43
Every time we help someone find solution to their employment barrier, positive effects radiate throughout our community:	3.6
The business community welcomes not only another worker, but consumer with increased purchasing power	3.4
Parents act as role models of selfsufficiency instead of dependency	3.0
Tax dollars that would have been spent on public assistance are saved	3.12
You and I know that solutions to difficult problems do not just happen	2.7
At Goodwill, it is hard work of staff and those who benefit from our services that produces kind of inspiring results I see every day:	3.8
Nov	3.1
You can get off welfare	3.0
I know you can	3.12
I did	3.1
A participant in Goodwill program rushes back from job interview to share results with his classmates in our desktop publishing training program	3.0
His job objectives call for him to do it in	2.82
once his tears have subsided, he confirms what his classmates have already figured out: he just received job offer his first in years	3.46
Addressing meeting at neighborhood center, Goodwill staff member tells audience how Goodwill can help them find and keep jobs	3.27
At next corner he tells more	3.09
In order to develop job skills, man with some serious disabilities begins working in Goodwill's industrial division	3.11
It takes long time for him to gain selfconfidence to work elsewhere in community	2.62
Eventually, he turns your support into payoff for all of us	3.11
These people and their successes are real	3.25
Neither do we	3.0
Just like respect we have earned from U S News World Report	3.0
Real work	3.0
A real difference in people's lives in all of our lives	3.1
The people who can benefit most directly from your generosity have no time to waste	3.12
Neither do rest of us who feel positive results of their success	3.56
Jack Dustman Board Member and Former Chairman	3.0
We do not waste time as we are helping community	3.29
And we do not waste money	3.1
In their December, review of nation's best charities, U S News World Report called Goodwill of Standout Good Guys	3.57
In short while since Goodwill helped him find his job, Robert has learned to thoroughly clean motel room in about minutes	3.4
The magazine stated that Goodwill as well as other standouts is uniquely effective, innovemberative or valuable	3.4
